runNum, eventNum, m1_pt, m1_eta, m1_phi, m1_m, m2_pt, m2_eta, m2_phi, m2_m, 4_vector_m1, 4_vector_m2, invariant_mass
141576,1,256.699,0.37144,3.03314,0.1,200.23,-0.465534,-0.070545,0.1,[9.160058122550467e-07 -255.19083511557355 27.785144844253598 97.55594767197013],[7.415858043186471e-07 199.73197457956422 -14.113512339184274 -96.6174605402838],493.6389259608237
141576,7,168.294,0.0671842,1.2427,0.1,161.911,0.51124,-2.12254,0.1,[5.62635862744681e-07 54.231308789813454 159.31677746848857 11.315205546463249],[6.122067245894141e-07 -84.869367763111 -137.88532313661892 86.42857842901998],336.30238946911817
141576,10,253.339,0.450621,1.80956,0.1,235.675,0.873087,-1.27751,0.1,[9.323071114359513e-07 -59.91506716427631 246.15205391728963 118.0628271189858],[1.1052755569476328e-06 68.13359013962229 -225.6114348158931 232.921183838567],499.4605358095043
141576,12,225.479,0.175616,1.3751,0.1,176.881,0.552102,-1.70588,0.1,[7.637449098121784e-07 43.84430535179314 221.17517114092786 39.8015729064532],[6.822417400827028e-07 -23.821134256008925 -175.2696257876909 102.69373122677302],406.33179817996506
141576,18,314.979,0.336925,1.22559,0.1,232.319,-0.0557839,-1.97524,0.1,[1.110857646491666e-06 106.58600811822224 296.39701974618816 108.14357122791468],[7.761388894576885e-07 -91.41924058026099 -213.5758418284436 -12.966382315525607],551.2501313324886
141597,9,276.312,-0.67419,0.414421,0.1,208.468,-0.376059,-2.72435,0.1,[1.139199008957584e-06 252.92208255987887 111.2597928165149 -200.72322566743688],[7.45126734615318e-07 -190.58348954999542 -84.47982324168765 -80.2571824373058],485.3516893858592
141597,14,280.823,0.206983,2.22291,0.1,238.191,0.156916,-0.824313,0.1,[9.568620590340548e-07 -170.42241193850677 223.1989221256722 58.541512664713196],[8.043213924850113e-07 161.74632340302577 -174.85159234792172 37.52955039079726],516.8467286882261
141597,18,258.001,-0.35803,-1.81633,0.1,237.273,-0.187987,1.39666,0.1,[9.163486204564879e-07 -62.71334191585759 -250.2629671900034 -94.35824545149111],[8.05483540441152e-07 41.10934835065878 233.68461226016612 -44.86741641306524],496.315551750879
141597,19,217.78,0.84531,-1.43986,0.1,189.033,-0.225291,1.6562,0.1,[1.0018001151061101e-06 28.433903782408265 -215.91582043864398 206.81209650886342],[6.466161127591893e-07 -16.124494425420767 188.34403565954662 -42.9486105238459],465.2457696857719
141597,20,210.868,-0.543686,0.487575,0.1,214.818,0.502898,-2.68848,0.1,[8.099237532904208e-07 186.29587478568942 98.78846320211039 -120.37816654673655],[8.090923917122926e-07 -193.1404676061258 -94.04006006424639 112.64311753951122],485.2356891567408
141597,21,236.172,0.652789,1.1658,0.1,272.113,0.116426,-2.01489,0.1,[9.616817165415401e-07 93.05540134479799 217.06659315647485 165.35569706013783],[9.138300274282063e-07 -116.9105322807968 -245.7181560463548 31.75264945605848],525.2613027538785
141597,23,220.83,-0.225674,-3.10259,0.1,198.308,0.485254,0.0987107,0.1,[7.554467119526669e-07 -220.66205722178876 -8.610772476847146 -50.259678645573636],[7.409049529214667e-07 197.34264725984445 19.54334762717503 100.05102364653091],445.0785653639967
141597,26,224.291,-0.185785,0.729795,0.1,205.655,0.997759,-2.39305,0.1,[7.611031696802844e-07 167.16657079992268 149.53859130002007 -41.910030997964476],[1.0567358629569002e-06 -150.67960880703095 -139.96297551409847 240.97544378949144],506.9581644070019
141597,28,253.829,-0.429392,2.97866,0.1,214.256,0.0793885,-0.185449,0.1,[9.259437431641687e-07 -250.46724141913538 41.17429072720693 -112.3724374025904],[7.169344994121461e-07 210.58227225687065 -39.50620390689543 17.02733520630089],481.5538782458635
141597,32,242.801,0.44802,2.89272,0.1,227.575,-0.100262,-0.185569,0.1,[8.925477774282264e-07 -235.32047501530522 59.804679077569695 112.4554797068458],[7.629272170132562e-07 223.66786175831695 -41.98890617130205 -22.85537194060581],487.6794554616267
141598,13,252.235,0.093055,-2.27279,0.1,199.316,-0.693967,1.02192,0.1,[8.450108802747861e-07 -162.8785445232429 -192.59562549287037 23.505617121328942],[8.314674018476925e-07 103.98892544228603 170.03873453233732 -149.69130417267414],482.3926343269958
141598,14,233.801,-0.120648,2.67877,0.1,185.87,-0.120146,-0.465896,0.1,[7.855590647103261e-07 -209.2041570165643 104.38643727989141 -28.27610428042631],[6.244758954347982e-07 166.0598676034449 -83.49716924259378 -22.38530199472901],416.92446377380827
141618,20,246.453,0.0267727,-0.410554,0.1,219.801,0.298953,2.43867,0.1,[8.223734285365717e-07 225.9727193532777 -98.36366868455443 6.5990005029901555],[7.661851142314226e-07 -167.69851334635163 142.09042269774383 66.6933361888507],464.89012713252646
141618,21,245.566,0.225982,-0.977779,0.1,228.142,-0.481706,2.01736,0.1,[8.401245870950691e-07 137.238415973925 -203.6376132667242 55.96702569005573],[8.51011842454785e-07 -98.52739844321347 205.7695893955476 -114.19706338791111],502.1403995863902
141619,7,269.061,-0.0968315,0.99391,0.1,242.322,0.319096,-2.21141,0.1,[9.017018301489382e-07 146.7503931567588 225.5175022683089 -26.09431384851676],[8.498010409468679e-07 -144.8328433527223 -194.27660479421036 78.64289482171853],521.5128973108051
141619,9,230.501,0.0706437,1.22783,0.1,195.929,0.381004,-1.85893,0.1,[7.707879770044203e-07 77.51336938476847 217.07691855105287 16.2969907155706],[7.015613858604193e-07 -55.675837458060776 -187.85200069294868 76.46896321303507],429.99626557581087
141619,10,225.456,0.898158,2.04556,0.1,206.676,0.428011,-1.3475,0.1,[1.0763185557539663e-06 -103.06231140142567 200.5207418313516 230.83960082281402],[7.535134001811747e-07 45.76743059011172 -201.54481207210296 91.18531812077438],440.391923954296
141660,2,271.027,0.206423,1.14454,0.1,255.249,0.583741,-1.97997,0.1,[9.233782754396394e-07 112.06018354706778 246.77550525203566 56.34436932131277],[1.000647375137607e-06 -101.5511593566827 -234.17816728788708 157.60666194842503],535.409870882111
141984,6,275.441,-0.61577,-3.03531,0.1,235.162,0.310966,0.142676,0.1,[1.0985329498051206e-06 -273.88677276694085 -29.21951718133058 -180.53182934950692],[8.226491314516963e-07 232.7725268733294 33.43825618965701 74.31166591925717],564.5655806146523
141984,7,201.988,-0.815513,0.555862,0.1,205.466,0.347136,-2.69671,0.1,[9.105008002369083e-07 171.5778783370191 106.58416303263387 -183.59927659668375],[7.270713778407933e-07 -185.4661803391248 -88.42269565227716 72.76577817371924],477.71040670790825
141984,8,251.48,0.220631,-1.81784,0.1,229.066,0.0190761,1.34501,0.1,[8.593467191169437e-07 -61.49653205522961 -243.84496497811907 55.935525105863846],[7.642210311058363e-07 51.28164675995497 223.25193182050452 4.369950947118973],482.4356980916851
141984,11,258.325,-0.0861263,-1.15827,0.1,209.719,0.254494,1.87093,0.1,[8.648773461006959e-07 103.56895072879523 -236.65434301938427 -22.276092341718375],[7.223237530714127e-07 -62.002983389501075 200.34392681536733 53.950224026395546],471.5566103454262
141984,15,244.864,-0.0153806,-0.822089,0.1,229.237,0.693487,2.31722,0.1,[8.168750657886069e-07 166.67705310390707 -179.3798719605891 -3.7663037288964714],[9.56010402313983e-07 -155.65596857006042 168.28791286814499 172.02513391497098],503.9189092053274
141989,2,237.747,-0.153561,2.81789,0.1,224.353,0.619484,-0.334501,0.1,[8.024074016388688e-07 -225.3994152935144 75.62234851115 -36.65232136694315],[8.966081377899172e-07 211.91806623059418 -73.65461162809503 148.0445986564336],496.835634074025
142106,2,284.955,-0.488489,1.42688,0.1,254.716,-0.563561,-1.85725,0.1,[1.066186493593577e-06 40.86825864991826 282.0091088243842 -144.7997237076964],[9.881736170675952e-07 -71.9705631614775 -244.33681403795825 -151.26808297174156],537.8359663421047
142106,3,230.51,0.393061,-0.972833,0.1,144.182,-0.956717,2.13998,0.1,[8.290635674071775e-07 129.76799363156525 -190.51280253263306 92.95559935223034],[7.183523797766243e-07 -77.70611070405292 121.45044044073892 -159.96880034714428],450.8167694717563
142106,6,287.239,0.242474,-1.01483,0.1,252.173,-0.192232,2.00488,0.1,[9.864303592585465e-07 151.59449999840746 -243.97817667003093 70.33247483657624],[8.567482956025897e-07 -106.05872748920314 228.785419667362 -48.77482727577133],550.0597396251244
142106,10,289.372,0.0820008,-2.30599,0.1,271.493,0.480778,0.861001,0.1,[9.684881737151e-07 -194.0907176296864 -214.6274626276734 23.75533696139697],[1.01229883678911e-06 176.92616213546222 205.92615715594786 135.6148302046864],571.7157979820846
142106,11,274.984,0.524112,1.86475,0.1,245.778,0.0419631,-1.27363,0.1,[1.0461392910069174e-06 -79.67346912800745 263.18878884388 150.81187963398452],[8.2054915316906e-07 71.9667262068438 -235.00556504702004 10.316633933040665],535.1237896386046
142106,14,225.411,-0.126459,-0.55294,0.1,227.602,-0.836967,2.59934,0.1,[7.579103204548264e-07 191.82118584232478 -118.38391606567296 -28.58128583731065],[1.0410032262788842e-06 -194.95211433792574 117.45783719774658 -213.5282519616121],481.889584230352
142110,2,293.131,-0.169656,2.65953,0.1,229.179,-0.342746,-0.333344,0.1,[9.918854038801016e-07 -259.7259513198995 135.89780488283537 -49.97034779788942],[8.098025593629888e-07 216.56348813484206 -74.98846343185144 -80.09718915624495],518.8955264468782
